timestamp;unixtimestamp;ag_95;ag_76;ag_66;ag_64;ag_107;ag_88;ag_70;ag_92;ag_24;ag_86;ag_75;ag_67;ag_89;ag_108;ag_114;ag_56;ag_60;ag_50;ag_46;ag_22;ag_109;ag_73;ag_06;ag_83;ag_113;ag_33;ag_07;ag_14;ag_97;ag_103;ag_94;ag_111;ag_59;ag_16;ag_29;ag_104;ag_00;ag_23;ag_51;ag_99
2023-01-01 00:00:00+00:00;1672531200.000000;1.333294;0.550132;0.859645;0.721909;0.560718;0.889229;0.593517;0.989050;0.568190;0.593860;1.020972;0.587414;0.673078;1.080326;0.747376;0.549265;0.987669;0.949345;0.986407;0.621538;0.562047;1.241394;1.162225;0.668434;0.841420;0.689351;0.908596;0.548282;0.954931;0.673545;0.729209;0.581692;0.559810;0.733475;0.773436;0.595976;0.659853;0.676332;0.674073;0.656720
2023-01-01 00:15:00+00:00;1672532100.000000;1.438608;0.609501;0.985573;0.656183;0.664157;0.900151;0.581109;1.009176;0.708851;0.715864;0.958880;0.590454;0.590633;0.962903;0.744773;0.676700;0.817555;1.003125;0.820363;0.570778;0.589973;1.418786;0.886670;0.653900;0.811396;0.700638;0.848218;0.634041;0.902566;0.720217;0.709569;0.609470;0.625813;0.857304;0.656388;0.656558;0.601520;0.611723;0.614092;0.611270
2023-01-01 00:30:00+00:00;1672533000.000000;1.364580;0.661942;0.911687;0.713423;0.626837;1.071096;0.579176;1.152095;0.624629;0.573692;0.857308;0.684600;0.590571;0.963010;0.841618;0.614172;0.770377;0.862303;0.846463;0.572723;0.649610;1.382062;0.798580;0.593863;0.954079;0.580707;0.846160;0.701336;1.007725;0.789777;0.702980;0.691820;0.699301;0.734916;0.653265;0.578320;0.600516;0.613037;0.630626;0.632299
2023-01-01 00:45:00+00:00;1672533900.000000;1.075360;0.603340;1.121095;0.628031;0.702843;0.861162;0.603940;1.006434;0.658652;0.645148;0.856375;0.624886;0.695518;0.887983;0.738552;0.649521;0.785933;0.876823;1.058050;0.595485;0.718583;1.352007;0.854178;0.638320;0.820723;0.650122;0.986426;0.613448;0.798828;0.720719;0.683967;0.634765;0.664670;0.611972;0.696400;0.713592;0.730708;0.700296;0.718548;0.716546
2023-01-01 01:00:00+00:00;1672534800.000000;1.032755;0.612528;0.930894;0.712642;0.622969;0.760232;0.716219;1.109629;0.702038;0.647991;0.821173;0.681578;0.716031;1.083759;0.748508;0.611692;0.962537;0.752049;1.015412;0.706881;0.624159;1.103606;0.934790;0.681635;0.723666;0.649541;1.099625;0.610459;0.793090;0.842880;0.688863;0.644031;0.622482;0.621197;0.692779;0.610417;0.721214;0.703357;0.698280;0.677879
2023-01-01 01:15:00+00:00;1672535700.000000;1.175996;0.613620;0.998551;0.673977;0.700796;0.888985;0.607086;1.081833;0.696925;0.713936;0.968781;0.676119;0.646163;0.927095;0.751058;0.685030;0.919457;0.945615;0.853345;0.623764;0.625232;1.082386;0.831679;0.708999;0.805615;0.669005;0.764504;0.618190;0.835650;0.828661;0.675580;0.659100;0.639912;0.641721;0.672589;0.675836;0.715642;0.686062;0.722478;0.683335
2023-01-01 01:30:00+00:00;1672536600.000000;1.111415;0.692206;1.021865;0.690636;0.610257;0.916410;0.593243;1.041428;0.697122;0.596692;0.858828;0.655341;0.702781;0.826503;0.912650;0.636589;0.736805;0.813829;0.832855;0.591967;0.635897;1.147665;0.839099;0.637453;1.011153;0.730181;0.750698;0.736229;0.862849;0.833393;0.612718;0.793279;0.705668;0.755813;0.750547;0.614014;0.759896;0.673611;0.613399;0.701238
2023-01-01 01:45:00+00:00;1672537500.000000;1.137795;0.637865;1.159867;0.647148;0.692770;0.852948;0.609181;1.056080;0.638124;0.658773;0.878086;0.619744;0.626030;0.822317;0.847255;0.695538;0.833384;0.781106;0.977418;0.607896;0.735562;1.079045;0.808780;0.622353;0.818620;0.643462;0.829084;0.659928;0.829830;0.846208;0.711940;0.667372;0.708572;0.659886;0.733194;0.673936;0.807199;0.672097;0.730671;0.671150
2023-01-01 02:00:00+00:00;1672538400.000000;0.957228;0.619051;1.130086;0.668281;0.683928;0.783835;0.703024;0.964855;0.737678;0.642835;0.781677;0.737182;0.706523;0.910744;0.756839;0.618278;0.852425;0.846565;1.042627;0.639700;0.660435;1.101311;0.893812;0.701534;0.731078;0.619603;1.072247;0.616867;0.778839;0.829345;0.681928;0.665595;0.628945;0.627658;0.790935;0.670090;0.803389;0.652209;0.722206;0.653880
2023-01-01 02:15:00+00:00;1672539300.000000;1.042484;0.614016;1.021409;0.724619;0.700248;0.942572;0.636960;1.073305;0.663436;0.701533;0.893619;0.681442;0.656844;0.915820;0.830699;0.647809;1.049768;0.834699;0.793994;0.696740;0.632311;0.997598;0.845412;0.633670;0.870766;0.648417;0.791910;0.611841;0.851788;0.796952;0.686957;0.706742;0.623882;0.622640;0.704041;0.647493;0.688503;0.743359;0.739341;0.724881
