,ag_95,ag_76,ag_66,ag_64,ag_107,ag_88,ag_70,ag_92,ag_24,ag_86,ag_75,ag_67,ag_89,ag_108,ag_114,ag_56,ag_60,ag_50,ag_46,ag_22,ag_109,ag_73,ag_06,ag_83,ag_113,ag_33,ag_07,ag_14,ag_97,ag_103,ag_94,ag_111,ag_59,ag_16,ag_29,ag_104,ag_00,ag_23,ag_51,ag_99,ag_13,ag_55,ag_18,ag_106,ag_44,ag_85,ag_61,ag_10,ag_30,ag_34,ag_21,ag_35,ag_90,ag_91,ag_57,ag_74,ag_71,ag_79,ag_02,ag_102,ag_37,ag_81,ag_08,ag_03,ag_65,ag_47,ag_72,ag_05,ag_11,ag_77,ag_43,ag_100,ag_52,ag_54,ag_38,ag_84,ag_87,ag_101,ag_40,ag_04,ag_19,ag_42,ag_69,ag_31,ag_20,ag_68,ag_82,ag_110,ag_45,ag_80,ag_39,ag_36,ag_62,ag_12,ag_25,ag_115,ag_48,ag_96,ag_41,ag_58,ag_27,ag_15,ag_78,ag_17,ag_105,ag_49,ag_01,ag_32,ag_98,ag_112,ag_09,ag_26,ag_28,ag_93,ag_53,ag_63
34,0.96903,0.163206,0.647941,0.158481,0.30140700000000004,0.467043,0.18706699999999998,0.6175189999999,0.5855539999999999,0.197449,0.562475,0.276214,0.183279,0.49485200000000007,0.43069199999999996,0.203559,0.338758,0.35705100000000006,0.589948,0.613773,0.287728,0.9267249999998,1.172435,0.276281,0.43364499999999995,0.496625,1.881979,0.172606,0.596725,1.54781,0.176501,0.216066,0.173475,0.18603,0.161146,0.127339,0.251126,0.211236,0.4749499999999,0.3815799999999,0.36312500000000003,0.33511100000000005,0.187995,0.92166,0.233797,0.489464,0.182821,1.569921,0.4917629999998999,0.242074,0.43929,0.8394699999999999,3.1919315162001,0.338694,0.350223,0.596736,0.146798,2.2236576401312003,0.42923700000000004,0.40262800000000004,0.6594579999999999,0.45564,2.0914764642858,0.20568,0.488651,0.541834,3.3830876586799996,2.2694783598042996,0.239926,0.5790230000000001,3.4317538871328996,0.2151629999999,1.9135213729784,1.5985490622012,0.326839,0.333448,2.2859287581328998,0.352896,1.531991552324,0.176791,0.382621,0.6133029999999999,0.119147,0.18257,0.179582,0.225023,0.366434,0.247363,0.223626,0.685115,0.541903,0.29619100000000004,0.446966,0.3087889999999,0.181992,0.288031,0.167159,0.3241,0.198192,0.13162099999989998,0.676214,0.272928,0.49689599999999995,0.595344,0.324156,0.49817000000000006,0.20174,0.621752,0.260129,1.312635,0.238535,0.263251,0.289587,0.16302999999999998,0.203058,0.208978
35,0.714063,0.242071,0.7449009999999999,0.5185879999999999,0.25546199999999997,0.45535,0.246581,0.6958079999999999,0.28463400000000005,0.24632,0.964763,0.24623,0.26226,0.527035,0.415597,0.174895,0.482941,0.295002,0.527846,1.238902,0.611792,0.6643070000000001,0.7443440000000001,0.273959,0.5066499999999999,0.510635,1.987977,0.181984,0.521608,1.281585,0.260186,0.212645,0.287521,0.26495799999999997,0.20635799999999999,0.149832,0.233723,0.207673,0.72803,0.21629299999999999,0.207182,0.227598,0.183446,0.135914,0.1745309999999,0.34302599999999994,0.288811,1.918503,0.528237,0.609122,0.462787,0.42666299999999996,3.2298443804599,0.4160879999999,0.29913500000000004,0.5307599999999,0.22357400000000002,2.3838307382093,0.5240259999999,0.39416799999999996,0.844074,0.706783,2.0491676252125,0.185758,0.4753329999999,0.757593,4.9333371618539,2.3564772916769003,0.277794,0.754885,3.3539335534723,0.121541,1.9693289985314002,1.540333785004,2.322397,0.237645,2.278013234185,0.44067300000000004,1.4156172676345,0.251726,0.437413,0.5725829999999,0.24600499999999997,0.204337,0.22331099999999998,1.685514,0.471327,0.335474,0.186021,0.423636,0.55345,0.269297,0.36342399999999997,0.17932699999989998,0.179092,0.397971,0.134489,0.405563,0.331514,0.131535,0.268312,0.320953,0.45028799999999997,0.5694950000000001,0.202743,0.3466269999999,0.297809,0.566641,1.033785,0.965558,0.2999,0.167402,0.260173,0.17331200000000002,0.23621,0.230327
36,0.45528399999999997,0.180652,0.48071699999999995,0.256004,0.232796,0.679296,0.217436,0.605196,0.319598,0.31044,1.493813,0.17423,0.1708,0.39429600000000004,0.958689,0.196329,1.5750149999999998,0.4838679999999,0.419351,1.46988,0.266101,0.7158570000000001,0.582664,0.1767789999999,0.5133260000000001,0.257552,0.450614,0.5380349999999999,0.361784,1.3132350000000002,0.305905,0.253009,0.479138,0.227748,0.337551,0.334595,0.191104,0.35970799999999997,0.40554399999999996,0.197899,0.234042,0.121208,0.185541,0.115424,0.349657,0.49516899999999997,0.17746299999999998,0.516804,0.48384199999999994,1.04428,0.44839399999999996,0.4048619999999,3.3993731575328,0.385471,0.24030100000000001,0.416675,0.15182199999999998,2.1694990958805,0.327708,0.5260679999999001,0.8875419999999999,0.566062,2.3606234594753,0.1803029999999,0.539477,0.42712399999999995,3.4386264960306,2.3519071297060004,0.314812,0.923484,3.3839457507554003,0.12125799999999999,1.94243684924,1.5976868528763,2.1705840000000003,0.199778,2.2566034958289,0.41332899999989997,0.283735,0.304849,0.487436,0.630478,0.21063099999999998,0.183702,0.2518429999999,1.1723219999999999,0.777888,0.38037299999999996,0.2399159999999,0.729122,1.0529369999998999,0.416118,0.42480399999999996,0.16917199999989999,0.304671,0.17871899999989999,0.21327600000000002,0.34002499999999997,0.265739,0.131267,0.197528,1.299354,0.31351399999999996,0.5289450000000001,0.222845,0.457279,0.29603,0.42656,0.656193,0.290455,0.325103,0.12159500000000001,1.4997769999999,0.650374,0.292927,0.31663399999999997
37,0.58674,0.245322,0.528692,0.222776,0.217002,0.481488,0.166761,0.752065,0.227803,0.15682900000000002,1.7398729999998999,0.263322,0.13554,0.4211,0.677849,0.280217,0.626018,0.597619,2.0186029999999997,0.16909,0.241609,0.613974,0.41302099999999997,0.280858,0.4694269999999,0.16742800000000002,0.369284,0.218465,0.36810200000000004,1.477903,0.185697,0.385167,0.235235,0.237262,0.368296,0.16463799999999998,0.231169,0.241541,0.301544,0.232123,0.332921,0.12124499999999999,0.305109,0.627321,1.588066,0.562261,0.259579,0.422734,0.482822,0.750599,0.548873,0.357923,3.3686016186702,0.32159099999999996,0.221284,0.375771,1.8215523404362999,2.2062037069332,0.32623199999999997,1.835683,0.7544579999999,0.457572,2.1503185512581995,0.351181,0.5413720000000001,0.557091,3.3762232763914,2.3348721704651996,1.9729609514504,0.42260699999990003,3.423359814956,0.206477,1.885869787054,1.6587752850362,1.2107939999997999,2.2627161961354,2.234515535739,0.561779,0.3321529999999,0.17593799999999998,0.48073099999999996,0.570563,1.163865,0.163736,0.191244,0.694281,0.363516,0.4027339999999,0.317216,0.723564,0.6600440000000001,0.229098,0.725893,0.156093,0.26245799999999997,0.174937,0.16450399999999998,0.513052,0.264992,0.205859,0.17824299999999998,1.0940799999999,0.351394,0.44009,0.582225,0.458357,0.34472,0.491117,0.273612,0.3195,0.38206,0.484145,1.796108,1.4779119999999002,0.204903,0.244928
38,0.9892050000000001,0.198832,0.7937440000000001,0.148405,0.301785,0.35277,0.18939799999999998,0.7537449999999001,0.177921,0.121096,0.651956,0.197153,0.434054,0.444347,0.43345100000000003,0.259859,0.952624,0.5591860000000001,1.001564,0.878504,0.184474,0.450971,1.2633480000000001,0.224021,0.398805,0.164024,0.40406000000000003,0.236762,0.496503,1.148453,0.18634399999999998,0.3052469999999,0.15379399999989998,0.178573,0.199753,0.16109299999989998,0.22328699999999999,0.19712700000000002,0.411999,0.298229,0.317027,0.5520539999999999,0.1997039999999,0.300422,2.0992709999999,0.5095390000000001,0.588685,0.782837,0.39042299999999996,0.838118,0.568331,1.026405,3.3383318563733,1.513974,2.0048573336087,0.506982,2.1133661182766,2.3059747005326003,0.7498659999999999,0.71065,1.1080879999999,0.419706,2.1682707852592,2.0580038887576,0.46267499999999995,0.48606499999999997,3.7853567666963,2.3557400058726,2.3282706610513997,0.661171,3.5963207937676995,0.9422214025755,1.9006869561474002,1.6138520635989,0.28863700000000003,2.515360735291,2.2176795996817003,1.9300860000000002,0.195047,0.172505,0.473772,0.516749,0.508208,0.133284,0.24824899999999997,0.266013,0.502271,0.371475,0.368512,0.5637869999999999,0.574161,0.24613400000000002,1.0174739999999,0.268761,0.172235,0.251511,0.256416,1.784631,0.187212,0.1768049999999,0.225753,0.386541,0.628055,0.397438,0.393119,0.5100779999999999,0.305604,0.501327,0.161256,0.28655899999999995,0.372905,0.223776,1.08476,1.5660319999999999,0.351598,0.21263
39,1.466637,0.252159,0.9412630000000001,0.156699,0.234328,0.631789,0.200654,0.6763509999999999,0.222889,0.22640400000000002,0.5698960000000001,0.26892499999999997,0.436947,1.420874,0.6937289999999999,0.159087,0.725728,0.541212,0.5196669999999999,1.1354410000000001,0.236507,0.7020139999999999,1.4578989999999998,0.3014009999999,0.4316,0.3257419999999,1.708621,0.129847,0.625546,0.342641,0.2558639999999,1.3611,0.381598,0.24505300000000002,0.196345,0.24923900000000002,0.295588,0.19392399999999999,0.36351,0.240982,0.20713,0.164134,0.193282,0.524212,3.069052,0.35705299999999995,0.226769,1.5127140000000001,0.5577209999999999,0.615665,1.051096,0.9968959999999999,3.3746822354388,0.880391,3.7290820573309005,0.7377689999998999,2.1531793160632,2.3158797213361,0.574539,1.4928449999999,3.263553,0.45832100000000003,2.1868177015269,2.5015023376369,0.440613,0.425725,3.7536448178539,2.4128600665578004,2.3761272200585997,1.690368,3.5205679482638,1.9274623159478002,1.9305437748453,1.5138994907383,0.427353,2.4568489316542004,2.3422464003052,2.0845359999999995,0.169685,0.245869,0.38170800000000005,0.48408,0.346764,0.221075,0.36688200000000004,1.008522,1.7699109999999998,0.27999399999999997,0.2858629999999,0.48679399999999995,0.5635049999999999,1.052506,1.6434519999999002,0.221211,0.16443,0.39289799999999997,0.25388299999999997,1.8509419999999999,0.252091,0.140825,0.253863,0.315209,0.540297,0.470941,0.579209,0.35947799999999996,0.40915500000000005,0.546601,0.157923,0.412294,0.885186,0.238594,0.6543,0.246081,1.7152619999999998,0.20682
40,1.6302079999999999,0.19086,0.525446,0.250881,0.301196,0.46858999999999995,0.257144,0.6478980000000001,0.26826,0.177307,0.48635400000000006,0.19301600000000002,0.35935900000000004,1.562398,0.588328,0.182868,4.3483409999999,1.8594499999999998,0.488501,1.950693,0.202676,0.8443420000000001,0.579677,0.207987,0.50967,0.177571,1.802407,0.129069,0.7821530000000001,0.451962,0.293175,0.5361249999998999,0.160851,0.32177,0.292487,0.24749899999999997,0.180288,0.285217,0.357982,0.184427,0.389598,0.12107799999999999,0.19392800000000002,1.436355,2.602855,1.0632789999999999,0.180256,1.988603,0.5069229999999999,0.858558,1.9979619999999,0.683441,3.4579283702026,0.767041,3.3562307012282,0.31410699999999997,2.0968801518342,2.3207959756066,0.48512200000000005,1.74606,2.660944,0.46879299999990004,2.274669354263,2.5562585958879005,0.42913100000000004,0.6311719999998999,3.6925492150907,2.4738919013565,2.4749559848651996,1.964439,3.5190547628907,1.9634738659842,2.1002738742824003,1.5835315217288002,0.461797,2.6314793695412,2.3423575325831,0.94748,0.6916977117020999,0.26681099999999996,1.117865,0.46061199999990005,0.150895,0.17263399999999998,0.24872700000000003,1.866524,1.165184,0.42529599999999995,0.361105,0.633296,0.45307699999999995,1.3801510000000001,0.619427,0.129646,0.254211,0.251272,0.322324,0.672802,0.623005,0.139651,0.307575,0.385802,0.47330300000000003,1.749461,0.192774,0.39467199999999997,0.849271,0.42200699999999997,0.234175,0.21393,1.5151459999999999,1.006017,0.6083039999998999,0.36261699999999997,1.817729,0.221846
41,2.0569039999999004,0.237006,1.3177579999999998,0.228959,0.279675,2.370117,0.153038,0.738217,0.28528499999999996,0.256478,0.4965449999999999,0.268094,0.253736,1.7017410000000002,0.599074,0.63401,3.729412,2.046671,0.635408,2.461924,0.32165699999999997,0.728479,0.514965,0.228151,0.5441349999999999,0.153785,0.652007,0.171831,1.3510029999999,0.406455,0.249869,0.5102610000000001,0.221969,0.300985,0.240489,0.158606,0.17399399999999998,0.317766,0.33886,0.257955,1.081088,0.121055,0.240076,1.664708,0.897067,0.822402,1.5382289999999998,0.5791270000000001,0.980814,0.821687,4.783849,0.468846,3.5795073832482998,1.14562,2.2954495204579,0.27488799999999997,2.1423909356544,2.3484381509338,0.42165600000000003,4.2234329999999,2.062205,0.817412,2.2726626320164,2.6531407046336,0.5231960000000001,0.7730339999999999,2.3240621771572005,1.4491645047862,2.3139959764332,0.470107,0.416094224145,2.0464771550155003,1.6766347473829,1.8289876861872,0.333939,2.5737804438655,2.3529461792326,0.83281,1.5769218121309,0.177279,1.3095049999999002,0.47785,0.147617,0.394652,0.309573,0.75351,0.732334,0.371744,0.275584,0.48690399999999995,0.327754,1.116703,0.659407,0.129632,0.27049799999999996,0.14982599999989998,0.389109,0.748576,0.998416,0.131102,0.494689,0.28393199999999996,0.8287079999999,1.830321,0.950228,0.590674,0.7770899999998999,0.5024059999999999,0.2405839999999,0.235352,1.402193,1.132828,0.614661,0.4203549999999,0.706715,0.310506
42,1.875732,0.224589,1.542028,0.148278,0.319895,1.5109920000000001,0.149661,1.765285,0.163969,0.126317,0.9581780000000001,0.171743,0.24855599999999997,1.3819970000000001,0.7028909999999,1.672735,3.229969,1.9033559999999998,0.809252,1.7156669999999998,0.7379319999999999,0.6904979999998999,0.9590920000000001,0.22122799999999998,0.428319,0.18604900000000002,0.317371,0.192271,1.4698669999999,1.081792,0.496738,0.244045,0.253408,0.299341,0.22644599999999998,1.110909,0.252217,0.20139600000000002,0.407663,0.186125,1.451842,0.75019,0.602527,0.199811,0.783808,0.777993,1.597823,0.419728,0.401768,1.693283,1.8099189999999998,0.526473,0.147807,0.760806,2.3056289342785004,0.501347,2.2596817297310996,2.3384377131014,0.5854109999999,4.450582,1.281988,1.091865,2.2477115584136,2.7328228738443,0.477605,0.7524319999999,1.719697,2.4564849948108,2.3949565898401,0.484714,0.233427,2.0605428581163,1.6469273813785,1.7958342226582,0.42967700000000003,2.1458113970011,2.3024204197328997,0.973892,1.5543311893023999,0.149115,1.258484,0.43457100000000004,0.24600700000000003,1.477613,0.35026399999999996,0.908029,0.698405,0.410711,0.35434099999999996,2.042246,1.830361,0.24181499999999997,0.787061,0.252228,0.173786,0.18212299999999998,0.386452,0.6592519999998999,0.173237,0.241604,0.759734,0.286502,0.8690639999998999,0.36394200000000004,1.416296,1.0839489999999998,0.700418,0.48888000000000004,0.184755,0.387977,0.5783020000000001,1.050766,0.829765,1.501891,0.638618,0.197745
43,1.686157,0.18664899999999998,0.9994299999999999,0.14827299999989998,0.16045599999989998,1.4215579999999999,0.146271,0.698769,0.185422,0.18023799999999998,0.9082809999999999,0.243339,0.224792,1.625716,0.791254,0.695072,2.64347,2.056488,0.6092879999999999,0.204933,1.570364,0.754049,3.362208,0.537873,0.38424300000000006,0.292495,0.41203399999999996,0.20160499999999998,1.468247,2.1691290000000003,0.844795,2.59199,0.279618,0.341117,0.18257699999989999,1.1356389999999998,0.213875,0.19567900000000002,0.338922,0.285829,1.304024,1.019034,1.22665,0.13547699999989998,0.72808,0.5538809999999,0.2575339999999,0.46172300000000005,0.5567109999999,1.60409,1.215189,0.567571,0.24179099999999998,0.551608,2.4802038773287,0.415562,1.2394523432985,2.3084648322839003,1.9317669999998999,5.978308999999999,5.078168,0.7582019999999,2.2770620586544,1.3924132952597001,0.389792,0.830171,0.576659,0.160141,3.7504590780295004,1.904975,0.31355700000000003,1.7940488627769,0.5095583822562,1.8237465594545,0.5678729999997999,0.400259,1.3679024561197,1.6827,1.6675998631082,0.228296,0.618218,0.6351519999999999,0.14066099999999998,1.222739,0.454507,0.42673,0.5598389999999999,0.328536,0.26620099999999997,2.6720919999998998,0.7721340000000001,0.19153,1.911907,0.200894,0.16677599999999998,0.260305,0.30100899999999997,0.8283279999998999,0.1876569999999,0.25690799999999997,0.812951,0.172763,0.7627570000000001,0.42514599999999997,0.3692719999999,0.730106,0.743391,0.5100249999999,0.181612,0.35741,0.3089779999999,0.29435,0.639575,0.6723479999998999,1.286481,0.223682
